cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgwGg_ZJVXTJPNhbFAN4AaABAg,periksa saja bu harta petugas bia cukai,3 jam yang lalu,@ibumeyibumey2928,UClX63NT5G87S9DBYFpdX7LQ,0,,https://yt3.ggpht.com/ytc/AIdro_lSKB7LJ1JHEg7Ofg_pmP_VsrOGg3RNvYCYs_sUtRVH8ko=s88-c-k-c0x00ffffff-no-rj,False,False,1716306055.592605
Ugx_3qYo90QA7fR1cGF4AaABAg,"Ini oknum, dan pasti oknum lagi....
Tapi ko oknum nya banyak ya, hampir di setiap lembaga selalu ada oknum yg kebanyakan klo gk viral gk akan di usut",3 jam yang lalu,@mikazukimalik968,UCyFhKIrnOC5JaZsy4gsTWOw,0,,https://yt3.ggpht.com/ytc/AIdro_kVJ1cUQVKtv0Oluh2Wm-M6KdPf-orTkIoeqJ2UNXMQPjI=s88-c-k-c0x00ffffff-no-rj,False,False,1716306055.595121
Ugyp1hQjmeDiBgxWu2J4AaABAg,Hasil sita kemana tuh ? Knp ga di urus.,3 jam yang lalu,@windhy1290,UCMqoA2OAF1eC34JvUAbDHSQ,0,,https://yt3.ggpht.com/TLmB7Q0Xkn__eSV-5RivDXSY6BCGTs-J9AYJuurj1XTJtmhTy1cxfxt7Ua9gc63BBj7RFNmZs6Y=s88-c-k-c0x00ffffff-no-rj,False,False,1716306055.598281
UgwFVYDkfRzobmNEbM54AaABAg,Klu gak viral pst tu2p mata dl pajak skrg bea cukai emang klu gk korupsi apa gk makan ya,4 jam yang lalu,@user-nl9td8pt3u,UC7EUa5-rXNU3aNNsT2lWOaQ,0,,https://yt3.ggpht.com/ytc/AIdro_kx7LRXG9JxEQPwGG5Y-3-amHKIcX2nDJF5PElO758mf4e-_81WiP_1aIdW3MoO0j1Pgg=s88-c-k-c0x00ffffff-no-rj,False,False,1716302455.599277
UgzgN_7v7sNlNxGC3DV4AaABAg,Maling di beking negara.,5 jam yang lalu,@IbrahimIbrahim-rv5xr,UC_N55BHInaK9jtIPE3E_c5w,0,,https://yt3.ggpht.com/ytc/AIdro_l01BbL5lABX-SbH32JPbtxYFTw0q_8IG6OWmxVRCh7FG4ikXjaFwgCw3dicMdaW20FGg=s88-c-k-c0x00ffffff-no-rj,False,False,1716298855.602277
UgzKBcptMNRBYZA9kJJ4AaABAg,Bubarkan buk menteri bea cukainya.ganti semua pegawai nya.atau departemen nya.biar buk menteri gak repot2 lg ngurus in bea cukai.dr dl yg bermasalah bea cukai2 lg ber masalah.,6 jam yang lalu,@OppoA-od4gi,UCOKlZFUGZ_0QjrXRjnnsXoA,0,,https://yt3.ggpht.com/ytc/AIdro_k2j-U1hx2gQCJStFa-jkECGZa50pYXWpHLgxBfCIntw44Dm80MYPjDJG2ntcx9_FaCSw=s88-c-k-c0x00ffffff-no-rj,False,False,1716295255.604296
UgwBtMnXJOb_B6P43o14AaABAg,sama saja dgn bosnya,7 jam yang lalu,@ferdybuntala5579,UCvPGjNeT45B_-RZcorWiRgw,0,,https://yt3.ggpht.com/ytc/AIdro_lx6C4k8akGxufqQpnhrSQg2R6HVFWT1D32UM0uv9Y=s88-c-k-c0x00ffffff-no-rj,False,False,1716291655.606372
Ugwr_r1f8wBG9WgAtZd4AaABAg,"Beacukai bandit beseragam, warga yg di peras...bubarkan saja buk tidak ada gunanya mempertahan kan bandit beseragam pemeras rakyat.",8 jam yang lalu,@imamkodri3925,UC25_aR7xp-DNV1SXs6VkPIQ,0,,https://yt3.ggpht.com/ytc/AIdro_ngIMlirWw1eEdyXnSD2HjV1JCQJFgOOQnQT0dzOp6dzalDb4MvxXxuXMw-KT5R6ckjgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1716288055.607373
UgxBn4ogE52XvFyI9Ul4AaABAg,"Bukan isu bu Sri.......
Tapi fakta nyata.....
Sepatu kena cukai.....
Kancut / celana dalam cewek kena cukai.....
Mata duitan sekali .....",8 jam yang lalu,@sugengkaryono469,UC81sZR9DP7jThzson9uoDcw,0,,https://yt3.ggpht.com/ytc/AIdro_lmtfKcuDrr4VR8J4eNMnpAvV0Cmgsia--lRPymx3U=s88-c-k-c0x00ffffff-no-rj,False,False,1716288055.609326
UgwmLxomoyLP-169j6l4AaABAg,"Itu sejak dulu oknum biacukai selalu memeras TKI/TKW, sy juga pernah diperas, oknum bangsat tlng pemerintah selalu menindak oknum2 biacukai, bila perlu dipecat,",9 jam yang lalu,@SyafrudinAmiHamsyah-wf1ij,UCBc-F619SQyABtWruf2zMVA,0,,https://yt3.ggpht.com/ytc/AIdro_ln-9HYXgytSDFQbDRDb_rgH6bzytH6hE2dknWeVZrk6K8go1x19Eeds3jB779sjKtoDw=s88-c-k-c0x00ffffff-no-rj,False,False,1716284455.611378
